YEAR,TEAM,SEED,ROUND
2024,Akron,14,64
2024,Alabama,4,4
2024,Arizona,2,16
2024,Auburn,4,64
2024,Baylor,3,32
2024,Boise St.,10,68
2024,BYU,6,64
2024,Clemson,6,8
2024,Colgate,14,64
2024,College of Charleston,13,64
2024,Colorado,10,32
2024,Colorado St.,10,64
2024,Connecticut,1,1
2024,Creighton,3,16
2024,Dayton,7,32
2024,Drake,10,64
2024,Duke,4,8
2024,Duquesne,11,32
2024,Florida,7,64
2024,Florida Atlantic,8,64
2024,Gonzaga,5,16
2024,Grambling St.,16,64
2024,Grand Canyon,12,32
2024,Houston,1,16
2024,Howard,16,68
2024,Illinois,3,8
2024,Iowa St.,2,16
2024,James Madison,12,32
2024,Kansas,4,32
2024,Kentucky,3,64
2024,Long Beach St.,15,64
2024,Longwood,16,64
2024,Marquette,2,16
2024,McNeese St.,12,64
2024,Michigan St.,9,32
2024,Mississippi St.,8,64
2024,Montana St.,16,68
2024,Morehead St.,14,64
2024,Nebraska,8,64
2024,Nevada,10,64
2024,New Mexico,11,64
2024,North Carolina,1,8
2024,North Carolina St.,11,4
2024,Northwestern,9,32
2024,Oakland,14,32
2024,Oregon,11,32
2024,Purdue,1,2
2024,Saint Mary's,5,64
2024,Saint Peter's,15,64
2024,Samford,13,64
2024,San Diego St.,5,16
2024,South Carolina,6,64
2024,South Dakota St.,15,64
2024,Stetson,16,64
2024,TCU,9,64
2024,Tennessee,2,8
2024,Texas,7,32
2024,Texas A&M,9,32
2024,Texas Tech,6,64
2024,UAB,12,64
2024,Utah St.,8,32
2024,Vermont,13,64
2024,Virginia,10,68
2024,Wagner,16,64
2024,Washington St.,7,32
2024,Western Kentucky,15,64
2024,Wisconsin,5,64
2024,Yale,13,32
2023,Alabama,1,16
2023,Arizona,2,64
2023,Arizona St.,11,64
2023,Arkansas,8,16
2023,Auburn,9,32
2023,Baylor,3,32
2023,Boise St.,10,64
2023,Colgate,15,64
2023,College of Charleston,12,64
2023,Connecticut,4,1
2023,Creighton,6,8
2023,Drake,12,64
2023,Duke,5,32
2023,Fairleigh Dickinson,16,32
2023,Florida Atlantic,9,4
2023,Furman,13,32
2023,Gonzaga,3,8
2023,Grand Canyon,14,64
2023,Houston,1,16
2023,Howard,16,64
2023,Illinois,9,64
2023,Indiana,4,32
2023,Iona,13,64
2023,Iowa,8,64
2023,Iowa St.,6,64
2023,Kansas,1,32
2023,Kansas St.,3,8
2023,Kennesaw St.,14,64
2023,Kent St.,13,64
2023,Kentucky,6,32
2023,Louisiana Lafayette,13,64
2023,Marquette,2,32
2023,Maryland,8,32
2023,Memphis,8,64
2023,Miami FL,5,4
2023,Michigan St.,7,16
2023,Mississippi St.,11,68
2023,Missouri,7,32
2023,Montana St.,14,64
2023,Nevada,11,68
2023,North Carolina St.,11,64
2023,Northern Kentucky,16,64
2023,Northwestern,7,32
2023,Oral Roberts,12,64
2023,Penn St.,10,32
2023,Pittsburgh,11,32
2023,Princeton,15,16
2023,Providence,11,64
2023,Purdue,1,64
2023,Saint Mary's,5,32
2023,San Diego St.,5,2
2023,Southeast Missouri St.,16,68
2023,TCU,6,32
2023,Tennessee,4,16
2023,Texas,2,8
2023,Texas A&M,7,64
2023,Texas A&M Corpus Chris,16,64
2023,Texas Southern,16,68
2023,UC Santa Barbara,14,64
2023,UCLA,2,16
2023,UNC Asheville,15,64
2023,USC,10,64
2023,Utah St.,10,64
2023,VCU,12,64
2023,Vermont,15,64
2023,Virginia,4,64
2023,West Virginia,9,64
2023,Xavier,3,16
2022,Akron,13,64
2022,Alabama,6,64
2022,Arizona,1,16
2022,Arkansas,4,8
2022,Auburn,2,32
2022,Baylor,1,32
2022,Boise St.,8,64
2022,Bryant,16,68
2022,Cal St. Fullerton,15,64
2022,Chattanooga,13,64
2022,Colgate,14,64
2022,Colorado St.,6,64
2022,Connecticut,5,64
2022,Creighton,9,32
2022,Davidson,10,64
2022,Delaware,15,64
2022,Duke,2,4
2022,Georgia St.,16,64
2022,Gonzaga,1,16
2022,Houston,5,8
2022,Illinois,4,32
2022,Indiana,12,64
2022,Iowa,5,64
2022,Iowa St.,11,16
2022,Jacksonville St.,15,64
2022,Kansas,1,1
2022,Kentucky,2,64
2022,Longwood,14,64
2022,Loyola Chicago,10,64
2022,LSU,6,64
2022,Marquette,9,64
2022,Memphis,9,32
2022,Miami FL,10,8
2022,Michigan,11,16
2022,Michigan St.,7,32
2022,Montana St.,14,64
2022,Murray St.,7,32
2022,New Mexico St.,12,32
2022,Norfolk St.,16,64
2022,North Carolina,8,2
2022,Notre Dame,11,32
2022,Ohio St.,7,32
2022,Providence,4,16
2022,Purdue,3,16
2022,Richmond,12,32
2022,Rutgers,11,68
2022,Saint Mary's,5,32
2022,Saint Peter's,15,8
2022,San Diego St.,8,64
2022,San Francisco,10,64
2022,Seton Hall,8,64
2022,South Dakota St.,13,64
2022,TCU,9,32
2022,Tennessee,3,32
2022,Texas,6,32
2022,Texas A&M Corpus Chris,16,68
2022,Texas Southern,16,64
2022,Texas Tech,3,16
2022,UAB,12,64
2022,UCLA,4,16
2022,USC,7,64
2022,Vermont,13,64
2022,Villanova,2,4
2022,Virginia Tech,11,64
2022,Wisconsin,3,32
2022,Wright St.,16,64
2022,Wyoming,12,68
2022,Yale,14,64
2021,Abilene Christian,14,32
2021,Alabama,2,16
2021,Appalachian St.,16,68
2021,Arkansas,3,8
2021,Baylor,1,1
2021,BYU,6,64
2021,Clemson,7,64
2021,Cleveland St.,15,64
2021,Colgate,14,64
2021,Colorado,5,32
2021,Connecticut,7,64
2021,Creighton,5,16
2021,Drake,11,64
2021,Drexel,16,64
2021,Eastern Washington,14,64
2021,Florida,7,32
2021,Florida St.,4,16
2021,Georgetown,12,64
2021,Georgia Tech,9,64
2021,Gonzaga,1,2
2021,Grand Canyon,15,64
2021,Hartford,16,64
2021,Houston,2,4
2021,Illinois,1,32
2021,Iona,15,64
2021,Iowa,2,32
2021,Kansas,3,32
2021,Liberty,13,64
2021,Loyola Chicago,8,16
2021,LSU,8,32
2021,Maryland,10,32
2021,Michigan,1,8
2021,Michigan St.,11,68
2021,Missouri,9,64
2021,Morehead St.,14,64
2021,Mount St. Mary's,16,68
2021,Norfolk St.,16,64
2021,North Carolina,8,64
2021,North Texas,13,32
2021,Ohio,13,32
2021,Ohio St.,2,64
2021,Oklahoma,8,32
2021,Oklahoma St.,4,32
2021,Oral Roberts,15,16
2021,Oregon,7,16
2021,Oregon St.,12,8
2021,Purdue,4,64
2021,Rutgers,10,32
2021,San Diego St.,6,64
2021,St. Bonaventure,9,64
2021,Syracuse,11,16
2021,Tennessee,5,64
2021,Texas,3,64
2021,Texas Southern,16,64
2021,Texas Tech,6,32
2021,UC Santa Barbara,12,64
2021,UCLA,11,4
2021,UNC Greensboro,13,64
2021,USC,6,8
2021,Utah St.,11,64
2021,VCU,10,64
2021,Villanova,5,16
2021,Virginia,4,64
2021,Virginia Tech,10,64
2021,West Virginia,3,32
2021,Wichita St.,11,68
2021,Winthrop,12,64
2021,Wisconsin,9,32
2019,Abilene Christian,15,64
2019,Arizona St.,11,64
2019,Auburn,5,4
2019,Baylor,9,32
2019,Belmont,11,64
2019,Bradley,15,64
2019,Buffalo,6,32
2019,Cincinnati,7,64
2019,Colgate,15,64
2019,Duke,1,8
2019,Fairleigh Dickinson,16,64
2019,Florida,10,32
2019,Florida St.,4,16
2019,Gardner Webb,16,64
2019,Georgia St.,14,64
2019,Gonzaga,1,8
2019,Houston,3,16
2019,Iona,16,64
2019,Iowa,10,32
2019,Iowa St.,6,64
2019,Kansas,4,32
2019,Kansas St.,4,64
2019,Kentucky,2,8
2019,Liberty,12,32
2019,Louisville,7,64
2019,LSU,3,16
2019,Marquette,5,64
2019,Maryland,6,32
2019,Michigan,2,16
2019,Michigan St.,2,4
2019,Minnesota,10,32
2019,Mississippi,8,64
2019,Mississippi St.,5,64
2019,Montana,15,64
2019,Murray St.,12,32
2019,Nevada,7,64
2019,New Mexico St.,12,64
2019,North Carolina,1,16
