,YEAR,TEAM,SEED,March Madness Wins
1078,2008,Xavier,3,3
1077,2008,Wisconsin,3,2
1076,2008,Winthrop,13,0
1043,2008,Miami FL,7,1
1044,2008,Michigan St.,5,2
1045,2008,Mississippi St.,8,1
1046,2008,Mississippi Valley St.,16,0
1015,2008,Arizona,10,0
1016,2008,Arkansas,9,1
1017,2008,Austin Peay,15,0
1018,2008,Baylor,11,0
1019,2008,Belmont,15,0
1020,2008,Boise St.,14,0
1021,2008,Butler,7,1
1022,2008,BYU,8,0
1023,2008,Cal St. Fullerton,14,0
1024,2008,Clemson,5,0
1025,2008,Connecticut,4,0
1026,2008,Coppin St.,16,0
1029,2008,Drake,5,0
1068,2008,UNLV,8,1
1072,2008,Villanova,12,2
1070,2008,UT Arlington,16,0
1071,2008,Vanderbilt,4,0
1065,2008,Texas A&M,9,1
1064,2008,Texas,2,3
1062,2008,Temple,12,0
1063,2008,Tennessee,2,2
1061,2008,Stanford,3,2
1067,2008,UMBC,15,0
1066,2008,UCLA,1,4
1069,2008,USC,6,0
1075,2008,Western Kentucky,12,2
1031,2008,George Mason,12,0
1032,2008,Georgetown,2,1
1033,2008,Georgia,14,0
1035,2008,Indiana,8,0
1034,2008,Gonzaga,7,0
1036,2008,Kansas,1,6
1037,2008,Kansas St.,11,1
1041,2008,Marquette,6,1
1038,2008,Kent St.,9,0
1039,2008,Kentucky,11,0
1040,2008,Louisville,3,3
1042,2008,Memphis,1,5
1060,2008,South Alabama,10,0
1059,2008,Siena,13,1
1014,2008,American,15,0
1058,2008,San Diego,13,1
1027,2008,Cornell,14,0
1028,2008,Davidson,10,3
1053,2008,Pittsburgh,4,1
1030,2008,Duke,2,1
1057,2008,Saint Mary's,10,0
1055,2008,Purdue,6,1
1056,2008,Saint Joseph's,11,0
1050,2008,Oklahoma,6,1
1051,2008,Oral Roberts,13,0
1052,2008,Oregon,9,0
1048,2008,North Carolina,1,4
1054,2008,Portland St.,16,0
1047,2008,Mount St. Mary's,16,0
1049,2008,Notre Dame,5,1
1073,2008,Washington St.,4,2
1074,2008,West Virginia,7,2
974,2009,Marquette,6,1
975,2009,Maryland,10,1
972,2009,Louisville,1,3
971,2009,Kansas,3,2
970,2009,Illinois,5,0
973,2009,LSU,8,1
968,2009,Florida St.,5,0
967,2009,East Tennessee St.,16,0
966,2009,Duke,2,2
965,2009,Dayton,11,1
964,2009,Cornell,14,0
963,2009,Connecticut,1,4
994,2009,Robert Morris,15,0
969,2009,Gonzaga,4,2
992,2009,Purdue,5,2
991,2009,Portland St.,13,0
990,2009,Pittsburgh,1,3
989,2009,Oklahoma St.,8,1
988,2009,Oklahoma,2,3
987,2009,Ohio St.,8,0
986,2009,Northern Iowa,12,0
985,2009,North Dakota St.,14,0
984,2009,North Carolina,1,6
983,2009,Morgan St.,15,0
982,2009,Morehead St.,16,0
981,2009,Missouri,3,3
980,2009,Mississippi St.,13,0
979,2009,Minnesota,10,0
1010,2009,West Virginia,6,0
993,2009,Radford,16,0
1008,2009,Wake Forest,4,0
1007,2009,Villanova,3,4
1006,2009,VCU,11,0
1005,2009,Utah St.,11,0
1004,2009,Utah,5,0
1003,2009,USC,10,1
1002,2009,UCLA,6,1
1001,2009,Texas A&M,9,1
1000,2009,Texas,7,1
999,2009,Tennessee,9,0
998,2009,Temple,11,0
997,2009,Syracuse,3,2
996,2009,Stephen F. Austin,14,0
976,2009,Memphis,2,2
977,2009,Michigan,10,1
978,2009,Michigan St.,2,5
949,2009,Akron,13,0
961,2009,Clemson,7,0
960,2009,Chattanooga,16,0
959,2009,California,7,0
958,2009,Cal St. Northridge,15,0
957,2009,BYU,8,0
956,2009,Butler,9,0
955,2009,Boston College,7,0
954,2009,Binghamton,15,0
953,2009,Arizona St.,6,1
952,2009,Arizona,12,2
951,2009,American,14,0
950,2009,Alabama St.,16,0
1012,2009,Wisconsin,12,1
1011,2009,Western Kentucky,12,1
1009,2009,Washington,4,1
995,2009,Siena,9,1
1013,2009,Xavier,4,2
962,2009,Cleveland St.,13,1
902,2010,Lehigh,16,0
901,2010,Kentucky,1,3
900,2010,Kansas St.,2,3
899,2010,Kansas,1,1
930,2010,Syracuse,1,2
929,2010,Siena,13,0
928,2010,San Diego St.,11,0
927,2010,Sam Houston St.,14,0
926,2010,Saint Mary's,10,2
925,2010,Robert Morris,15,0
924,2010,Richmond,7,0
923,2010,Purdue,4,2
922,2010,Pittsburgh,3,1
921,2010,Old Dominion,11,1
920,2010,Oklahoma St.,7,0
919,2010,Ohio St.,2,2
886,2010,Butler,5,5
885,2010,Baylor,3,3
