UC Santa Barbara,102.17026151585,99.276892198309,0.58184937038356,16–13,16,29,51.9,46.8,37.2,42.6,21.7,20.1,28.4,31.9,49.8,42.3,37,36.6,12.1,6.8,60.5,58.3,36.7,35.3,65.7,2011,-6.679720531956,76.5,70
Arkansas Pine Bluff,87.753067668177,110.75955805708,0.064308067299146,7–24,7,31,44.9,52.4,40.1,55.4,24.2,22.3,26.9,31.5,41.4,50.8,34.4,37.1,6.4,12.0,56.9,64.0,34.5,33.4,67.7,2011,-18.467283633486,62.7,65.3
Toledo,90.289960539179,111.64600217715,0.080060206017833,3–28,3,31,45.7,53.1,42.2,33.6,24.8,19.2,28.1,34.8,44.9,52.8,31.6,35.7,4.3,12.6,60.7,64.4,33.8,41.6,64.4,2011,-21.207104197263,63.3,70.4
Indiana,108.68895052191,99.52211360468,0.73365923780648,12–20,12,32,51.6,49.6,36.9,50.2,19.8,19.7,32.6,30.9,51.4,47.0,34.6,36.4,7.9,10.1,49.8,53.6,31.9,34.2,66.4,2011,-6.3538176299421,72.6,70.4
Louisiana,97.238494718262,103.53192309882,0.32712806011003,13–14,13,27,47.9,48.7,44.2,46.5,21.8,20.4,35.4,31.7,46.5,47.5,34.6,34.3,11.3,9.6,41.3,44.6,26.7,30.0,69.3,2011,-10.042097782048,67.5,70.5
Central Michigan,90.641144605659,99.482837920527,0.25532999525055,9–21,9,30,43.2,50.4,33.1,52.9,21.0,22.4,32.3,30.1,40.7,48.8,33.3,36.7,10.0,10.2,41.1,50.2,27.7,25.9,64.4,2011,-15.560336398989,63.0,66.3
Brown,101.65159262816,107.53170748004,0.34373417391595,10–17,10,27,50.6,50.9,35.8,30.2,17.4,15.4,22.3,28.4,49.4,50.3,35.0,34.7,7.4,10.7,58.0,51.0,39.1,32.4,69.4,2011,-12.393863593217,75.7,70.1
Columbia,101.06678017486,103.48234297923,0.43250835731866,14–13,14,27,47.6,50.7,36.4,39.5,18.3,18.5,34.2,27.1,46.3,49.1,34.1,36.8,7.1,7.9,46.1,51.5,28.0,26.4,68.3,2011,-8.1779857113645,71.8,72.5
UC Irvine,101.11548498002,105.13722352075,0.38970896200974,12–19,12,31,48.1,49.7,42.1,40.4,17.5,19.4,25.7,30.8,45.8,49.9,34.8,32.9,4.6,7.5,49.1,53.1,35.8,37.4,71.4,2011,-13.111745625643,73.7,71.8
Furman,103.88721521087,102.27989073414,0.54470944672846,20–10,20,30,51.6,47.6,41.2,41.0,20.5,19.2,33.9,32.1,49.0,47.1,37.3,32.3,8.9,7.3,52.8,48.8,36.8,32.4,63.4,2011,-4.4165336025951,73.1,67.7
